pressures,wsm6,kessler,thompson,morrison
1005.874609375,0.1954883751050679,0.20205213366253777,0.20760945024327027,0.20324913034458977
992.1440625,0.19243695710612008,0.1997894865936039,0.20535318591914786,0.2006732542335885
978.413671875,0.19145177848231731,0.19948037870492047,0.20503883389508398,0.1999373934118884
950.9525,0.1850095741926121,0.19542432129903084,0.1988222125894087,0.1929757130653671
937.221875,0.1772408896062715,0.1900282006480931,0.19083390541185793,0.18446309043247822
909.76125,0.11864139905685292,0.14492748422901536,0.1310998008275928,0.12088164322097701
882.303515625,-0.2763228800804406,-0.2096950495771805,-0.23259177008395063,-0.2894917546880878
854.884921875,-1.0917920269352996,-1.1080586751578299,-1.055274193017414,-1.1625010080584628
800.40046875,-0.2530810180841249,-0.25008368707471706,-0.25106866632020886,-0.26751589329841763
732.3684375,-0.20414919336392198,-0.20451175761002902,-0.20343566684567646,-0.21699090282161962
650.7700390625,-0.14688410515829922,-0.14459533979186767,-0.14275645802280057,-0.15516612960427612
569.20546875,-0.08634763041702831,-0.080617243437702,-0.07770968844403667,-0.08551395249746381
487.6826171875,-0.04078244108905207,-0.008773368562314327,-0.029290263898264064,-0.028087409772548373
406.218125,0.004388005471978305,0.04114804583299085,0.008578565734989852,0.0059791724676405925
351.9417578125,0.004491675923513706,0.02140289898429263,0.006727732523010336,0.004840395986440974
297.6816796875,0.003341191124785589,0.011395774398282436,0.004725470459846908,0.004276049982943442
243.430390625,0.0016658016329784697,0.0055874365289114705,0.0018506408553443012,0.0025289220882418347
202.7447265625,0.000574837736870162,0.0019892414853407946,0.0005839605654499534,0.0010913229212201722
