pressures,ysu,mynn2,acm2,gbm
1005.874609375,0.1954883751050679,0.24469843509064193,0.2052988445982434,0.2255928690341072
992.1440625,0.19243695710612008,0.23822882021137798,0.20200312419284688,0.22477961416298914
978.413671875,0.19145177848231731,0.23945374805478187,0.1994760261729677,0.222753041638832
950.9525,0.1850095741926121,0.23044478866135568,0.1944211253050462,0.21276144883726886
937.221875,0.1772408896062715,0.2183413745809636,0.19041376709914848,0.19885262580554483
909.76125,0.11864139905685292,0.12063548712999653,0.16232739783189562,0.10177088243026261
882.303515625,-0.2763228800804406,-0.30509649446993925,-0.01741718909828224,-0.3131515354386869
854.884921875,-1.0917920269352996,-1.2538217407562677,-0.505733433620347,-1.354372755179299
800.40046875,-0.2530810180841249,-0.22259719587793508,-0.30188169663285624,-0.2778618764693231
732.3684375,-0.20414919336392198,-0.15041728616086147,-0.25356351292120594,-0.2221221563469095
650.7700390625,-0.14688410515829922,-0.0977170240332372,-0.16432308121854913,-0.15722761629431473
569.20546875,-0.08634763041702831,-0.041038901048773606,-0.08965348913802704,-0.08652380467781937
487.6826171875,-0.04078244108905207,0.0028604189270043613,-0.03298926842770617,-0.03177559950437112
406.218125,0.004388005471978305,0.015249658736001124,-0.008287031267533091,0.0032899663328466422
351.9417578125,0.004491675923513706,0.009587446174190986,-0.0021858914583889337,0.0052025171542830016
297.6816796875,0.003341191124785589,0.005188154968272774,0.0007412273666331487,0.0041067745136884794
243.430390625,0.0016658016329784697,0.0018450740623467336,0.00097961808139145,0.001788244013245239
202.7447265625,0.000574837736870162,0.00047777969143340544,0.00048400041971430395,0.0005571253005852493
