pressures,wsm6,kessler,thompson,morrison
1006.3321875,0.14703017029528093,0.12483334560095068,0.14747273308994013,0.14202765887867322
992.580625,0.14934028519838122,0.12693891814275612,0.1498541818066527,0.14460933000820803
978.83078125,0.15171326037095365,0.13140015957908757,0.15155257979778175,0.14702569408339447
951.34265625,0.17869603104185972,0.16374388258768283,0.17778542115333987,0.17454659695609448
937.612734375,0.1915038109468035,0.18078626643085532,0.18803228838299768,0.1864015804277895
910.1740625,0.2218338909670998,0.21683654261990942,0.22284517565873266,0.21941641020934158
882.76453125,0.25565271594309863,0.24741277993970393,0.25982386258751433,0.2579013673711183
855.38640625,0.2815511469656107,0.27557441089948237,0.2919572620493645,0.289133147338083
800.7140625,0.3169571937457804,0.30894536948165985,0.34570171690034496,0.3406583738872643
732.5115625,0.3699326858434067,0.3741595801439836,0.39546686504075673,0.3945717166871521
650.7509765625,0.29308600641374405,0.3071360324969826,0.3082449903687589,0.3012663964298641
569.108671875,0.3132327227795575,0.3162870838032605,0.33013496602053777,0.3231450336733201
487.6268359375,0.4292884952924529,0.4276398474621126,0.4623424700260601,0.45338853158064485
406.2140625,0.5172692999523643,0.5305252733658126,0.55136385549864,0.5415527887001954
351.9430859375,0.48577630494683377,0.5122210497114282,0.5181053317681765,0.516919875645444
297.68138671875,0.47299995517662613,0.4985157437238537,0.49927404724296975,0.48440225012628396
243.4295703125,0.46188154501374545,0.47707299528832464,0.4882260661470149,0.4653175600304598
202.74380859375,0.4398883082321886,0.45514174115283457,0.46319504861361227,0.44219230996065456
