pressures,ysu,mynn2,acm2,gbm
1005.874609375,0.27186876262128096,0.27454500910789514,0.29422213607753295,0.2647185109223728
992.1440625,0.273932951858074,0.27208510196841795,0.2940356356724866,0.2654971137245294
978.413671875,0.27510750690778146,0.27268000927276126,0.2931772950929261,0.2654828784904606
950.9525,0.2749842628241289,0.26690347231229256,0.29080131929763975,0.261798191891783
937.221875,0.27351627030251463,0.2586498064691947,0.2883573967879751,0.2526247759415605
909.76125,0.24941636485302585,0.19457127366783775,0.27002184390804884,0.18765500253584572
882.303515625,-0.0029896654055019834,-0.05399813365566512,0.13226511618412135,-0.08135218199651166
854.884921875,-0.5690413717587582,-0.21098491798249608,-0.3390094811743208,-0.2715177128363037
800.40046875,0.03326784135225757,0.15878203137623212,-0.03198461551034488,0.10890038735605977
732.3684375,0.00038634977127020604,0.10254335122234111,-0.06253522080955413,0.06349820891553197
650.7700390625,0.005995538283490101,0.08304420568376891,-0.034206473339546316,0.056343882998478124
569.20546875,0.01749431882881305,0.06672195057677156,-0.004299685329817415,0.04991127704087821
487.6826171875,0.02276740548913868,0.048523065628020674,0.02141381609718411,0.04054692511439511
406.218125,0.022578538686723715,0.025460393314925528,0.02165605043863368,0.027051207262791182
351.9417578125,0.01312232465608316,0.015050547325593038,0.012172867047804284,0.0154462277390534
297.6816796875,0.006527415400197402,0.006904586919680557,0.00590941831346515,0.007231238648480222
243.430390625,0.002223216228562203,0.001996744505254607,0.001871802721804096,0.0022656649643849765
202.7447265625,0.0006410934099725869,0.0006570027873861493,0.0005642359263393006,0.0006328226325217087
