333.98077392578125,3553
p1,p2,p3,p4,wsm6,kessler,thompson,morrison
1005.377578125,1005.48703125,1005.41125,1005.2053125,343.126812589783,343.3421224563994,344.2091613086351,344.03313606442475
991.62875,991.7378125,991.6609375,991.46234375,340.4398001543178,340.6603251221035,341.462567982566,341.2949228928872
977.8825,977.9903125,977.913515625,977.72171875,338.05046003107503,338.2667635210299,339.0025822817002,338.84162895413056
964.13984375,964.244296875,964.1709375,963.98421875,336.24537842746605,336.46440217918615,337.0941544237642,336.93292129616907
950.40703125,950.500859375,950.439375,950.2521875,336.79594084751875,337.1944295485549,337.6484315442671,337.5598576049816
936.683828125,936.767109375,936.71734375,936.53015625,337.33019767452066,337.69130466587967,338.129609938571,338.077355448788
922.96625,923.0525,922.998359375,922.8184375,337.58164397328596,337.58266721579554,338.00204159003925,337.92449857101633
909.2628125,909.353125,909.294921875,909.116171875,338.053953772326,337.78371645961215,338.103770649352,338.0172286876849
895.578515625,895.665,895.6159375,895.427265625,338.5667075456314,338.143033250124,338.4221836661421,338.2874242033068
881.909375,881.991328125,881.9521875,881.7540625,338.7947227428872,338.30026279203383,338.6285498249319,338.41162171365835
868.251875,868.33109375,868.2978125,868.09421875,338.60541352023625,338.06346313685884,338.51087341042745,338.2058806357694
854.60390625,854.68078125,854.650859375,854.444765625,338.06121156673873,337.4882330523873,338.0278744694602,337.66543291041825
840.9634375,841.03765625,841.01015625,840.8046875,337.2771973920145,336.6939453884154,337.2739021804036,336.88932534865506
827.32875,827.40015625,827.37484375,827.17203125,336.33502999056594,335.74698438249686,336.34738102208183,335.957038565936
813.69890625,813.7675,813.7440625,813.545234375,335.2791354223893,334.69631480073144,335.29829086276783,334.90876601305143
800.073359375,800.13921875,800.11765625,799.92359375,334.1456781580558,333.57291160923876,334.16314915195034,333.7860537023558
786.45171875,786.515,786.49515625,786.30640625,332.9682083456555,332.4052071348572,332.9829818769468,332.61659035188586
772.83375,772.894921875,772.8765625,772.693359375,331.81696239768746,331.26690927981724,331.8250911063797,331.4757385005555
759.219375,759.278828125,759.261875,759.084140625,330.71699561400646,330.17771352219535,330.71861302379705,330.38315623464797
745.608671875,745.666875,745.65125,745.478671875,329.67273665233364,329.14496984286274,329.669381002485,329.34774061008835
732.00171875,732.0590625,732.044375,731.876875,328.682748261227,328.1629768062295,328.6720200946332,328.3638250040874
718.3984375,718.4553125,718.44140625,718.27859375,327.7423183458299,327.2305606222521,327.7244215863841,327.4289442824103
704.79890625,704.855625,704.8421875,704.68375,326.85047958978606,326.34593674557107,326.8254063743993,326.54194721494855
691.20296875,691.25984375,691.246484375,691.09234375,326.0067353458901,325.50920024271153,325.9751370539301,325.7040131762311
677.61046875,677.6675,677.65421875,677.50421875,325.2102829958019,324.7214250035256,325.1729110231245,324.9144007512777
664.02140625,664.07859375,664.065234375,663.91921875,324.46302882079357,323.98085456616997,324.41881565447017,324.1726261383451
650.4355078125,650.4927734375,650.479296875,650.3372265625,323.76275768654875,323.2884659221593,323.71305226533985,323.47966252956263
636.8526171875,636.9098046875,636.8962109375,636.75796875,323.1105598502308,322.6463524364648,323.0573224306803,322.83447873466525
623.2725390625,623.329453125,623.315703125,623.18125,322.50637140108734,322.05199829640776,322.4479904799692,322.2386584563918
609.6951953125,609.7515234375,609.7376953125,609.606875,321.9515823113202,321.50519792762026,321.8875828820338,321.69028205359183
596.120390625,596.17578125,596.161875,596.0346484375,321.44257536361454,321.00927275023935,321.3748923315458,321.1905533172524
582.547890625,582.601953125,582.58796875,582.4642578125,320.9827271418675,320.559095116756,320.9111283185525,320.737936040353
568.977421875,569.029765625,569.015859375,568.89546875,320.5736869176179,320.16451955521933,320.49990964787804,320.3405510450701
555.40875,555.4590234375,555.445390625,555.328125,320.2124518785535,319.8181566184874,320.13785279953214,319.99270808573135
541.841484375,541.88953125,541.87640625,541.76203125,319.8920398284701,319.516361433303,319.82412581188834,319.68914746472365
