pressures(hPa),850 hPa,650 hPa
1001.27,0.19218961050120295,0.28241188506550596
987.947,0.19331700079655126,0.2839724507609683
969.724,0.2907850163307577,0.3344648383324208
954.06,0.33395464804622355,0.3550091966379023
934.911,0.37725070146993567,0.3765291482458319
911.617,0.4282954171266511,0.4050342456090342
883.451,0.4781008878901871,0.44085565342650535
849.66,0.4798629879964838,0.4709986734901479
786.877,0.338130206195954,0.5379380553596187
736.189,0.272526704187126,0.6076290450755745
646.712,0.2733684750675476,0.7385043112162852
579.089,0.3063286433977269,0.5524735005263661
470.035,0.3837289035731556,0.47800299866814244
396.325,0.43073228659753793,0.5768518254339319
360.414,0.4461005880855812,0.6106830484869729
292.51,0.4533331584067315,0.6390116951611348
231.981,0.4319148238108866,0.6112872003027089
205.017,0.3994546195203149,0.5581998368369994
