pressures,wsm6,kessler,thompson,morrison
1006.7671875,0.040740137673932364,0.0527515779877714,0.04060240873698385,0.01658175836507804
993.02640625,0.042508167197833055,0.05625980960059423,0.04239637931211871,0.016399859884126473
979.28578125,0.042406679098258675,0.07869548499455953,0.04232286274628886,0.01643045139526121
951.804609375,0.04182255513696684,0.12714344880544626,0.041790263915504416,0.018022182639949612
938.064609375,0.04212465818099697,0.13451386442796268,0.042323579965091555,0.026203356818782667
910.59953125,0.0659577181710611,0.15277171403501802,0.07705422962709788,0.08333271071864437
883.176796875,0.055389924704267485,0.17168405692138747,0.07420996906178395,0.07062492298656188
855.78484375,0.09183142943339842,0.2159809940391985,0.11060439279702104,0.09699201201796043
801.06140625,0.03669256078848309,0.21861061623098663,0.05868312822194659,0.0685174262659053
732.7715625,0.006904174269321491,0.16317851316554438,0.028255103695333406,0.07488242883611325
650.975703125,0.037328638901640905,0.17450523876074076,0.06393987707702833,0.0905030190172814
569.2930078125,0.06462611138254852,0.17992691519315837,0.07878377168300903,0.1099804779289379
487.7028125,0.07303666458275081,0.0583685966601195,0.0930887664125357,0.13405582687899556
406.190703125,0.08996789845826803,0.03737969571125403,0.10318313323811576,0.14818636222593604
351.90046875,0.07810008858047933,0.026715713049189578,0.10985270163114746,0.17213187164600663
297.638203125,0.09710152216084278,0.02509388808909547,0.12031899226099324,0.16612286669242152
243.3919140625,0.07444520045768169,0.022541306332776047,0.10580920536051602,0.18259930196601787
202.7121484375,0.07767334666156049,0.018434029987309225,0.11088018144305682,0.17481644622624945
