pressures,ysu,mynn2,acm2,gbm
1005.435859375,0.22181337666554504,0.232136927831526,0.21095818805679079,0.23118156305771054
991.69546875,0.22145303735953223,0.23200289893387466,0.2106745555598728,0.23112014910092274
977.957734375,0.22110246733283628,0.23439951088705588,0.2096890519978971,0.23284195987600365
950.4940625,0.25838986272310255,0.285779895687665,0.26904552110078883,0.2823810791965383
936.7715625,0.25073812747729485,0.27596515216937484,0.2730153575823317,0.26603046997373375
909.3459375,0.23251545259485293,0.2633224571894001,0.2589406007913487,0.2506668117383163
881.96765625,0.232798322638829,0.2547308644970328,0.2521403626679657,0.25010329388067565
854.6484375,0.2212302753330699,0.23971117360298322,0.24125074689428108,0.23845988725260184
800.089375,0.22247950227444027,0.23759515331818654,0.24357671348314988,0.23937278597985623
731.98484375,0.23677217126231484,0.25112475288210157,0.2581704379722852,0.2538933587792729
650.3970703125,0.25463743649962517,0.2707553223997728,0.275278052928451,0.27523665701099354
568.9328125,0.27329051214149136,0.2921479588607327,0.2899012918701596,0.2956268261740469
487.533828125,0.3041037162981907,0.3159269085455301,0.3095874193915653,0.31467544084591115
406.15390625,0.33598954521460295,0.33409443753061846,0.3287498079886136,0.32948442017567675
351.90609375,0.3503049867294159,0.3439815264924073,0.3417697560412749,0.33523337492308297
297.6612109375,0.3528774254979445,0.3464348485505454,0.3519091304653483,0.338692923205827
243.4173828125,0.3445944886938829,0.34131427911396517,0.3530173429129064,0.3340569437103744
202.73453125,0.32716951196182364,0.3270903089334207,0.34161743444883513,0.32197314583117775
