pressures,wsm6,kessler,thompson,morrison
1006.67734375,0.2196469484547407,0.2182618330243442,0.223924982168095,0.22227461403032425
992.94984375,0.2210444274369041,0.22060337093240032,0.22814062579751854,0.22560684552552848
979.222890625,0.22064403438762997,0.2206207467663701,0.2280017349134804,0.22548322933438175
951.7690625,0.22368744494288076,0.22335661523075834,0.23215362028603811,0.22892687938910503
938.0425,0.22668313080804672,0.22598604335657277,0.23652051355390466,0.23252912867275666
910.59171875,0.23006546206369732,0.22843464543139608,0.24654382173931524,0.23926593884005706
883.15328125,0.13237139728025477,0.13415327323285575,0.16055758205585147,0.1470228571243231
855.7546875,0.18974396683381028,0.1824252742968964,0.18968809067444017,0.18781500754472089
801.04203125,0.17809586122999607,0.16768044882330602,0.17402560632087993,0.17402591335194897
732.76765625,0.14005653696659204,0.13596109206006124,0.13928211878878458,0.13767507263207363
650.9858984375,0.09436670367137374,0.09380531358674778,0.09985217946949153,0.09751707363959994
569.31203125,0.08274705702065542,0.08375247605432273,0.08370651147295625,0.0850620763365853
487.7372265625,0.0728871134407981,0.07053293185367607,0.07640415672829326,0.07586695947972877
406.2559375,0.049900898045404526,0.04589707836740556,0.05480455905029844,0.051692363131277216
351.9771875,0.02645035778971919,0.029829990463720674,0.032324666599317674,0.029177204056403578
297.7164453125,0.011380425042264018,0.00740843196802593,0.013745918456514922,0.01305805361890239
243.4618359375,0.0016042203940120014,0.005717608958207793,0.0014408929261058836,0.0016907890079904874
202.7715625,0.00047523581531625246,0.0018735594787667668,0.0005391062589045294,0.0010100023085664721
