pressures,wsm6,kessler,thompson,morrison
1005.98890625,0.12464755478236372,0.11051264128173173,0.12733101627635088,0.12351823098197676
992.244140625,0.12579336248124068,0.11171052906581058,0.12834187596747199,0.12448858466756245
978.50109375,0.12851614835104086,0.1145042192662521,0.13088161069753834,0.12727496905752408
951.02796875,0.14396085750020343,0.13783059842877435,0.1450031662176872,0.1416900204558017
937.304765625,0.15937026832503567,0.15225144341330407,0.15725332136954487,0.15527653010304426
909.88390625,0.17797084209893738,0.17527081487616555,0.17797991217097725,0.17762784542710916
882.50078125,0.21492237118306773,0.20568846832019538,0.21599627949466574,0.214249873294779
855.14296875,0.23180490114401037,0.2216935318218515,0.2315154575029814,0.23006817383370592
800.52015625,0.287202698215122,0.24646808824067687,0.28308422759896207,0.2912292832080393
732.35015625,0.278879471826308,0.26489919470704315,0.27651360687463883,0.28411106711385015
650.609453125,0.2570109291704145,0.2456291344004411,0.2560618513665437,0.26382672006255836
568.99609375,0.2555003906682329,0.24966993495556533,0.2601820109603586,0.2613000552702512
487.5364453125,0.3618720678170342,0.340051255146832,0.36917021895257873,0.3671780894119773
406.140390625,0.36392899714686394,0.3813697424158487,0.36980350211765867,0.37114702003870764
351.87890625,0.3423613658322272,0.3546453087208507,0.34981484727017087,0.35402164716409995
297.627890625,0.32446509084328506,0.32468496398776614,0.33109030384346055,0.32271967151701236
243.3859375,0.28561857462118667,0.28505965720904514,0.2990692344905782,0.28414439987402
202.707734375,0.2549593220842083,0.2506247343350219,0.27354288660900633,0.25518383173428993
