pressures,wsm6,kessler,thompson,morrison
1005.651796875,0.2435151581367082,0.2445844710930051,0.2503120000576576,0.24897153302296857
991.92640625,0.24242266176278165,0.24555428782609426,0.25052508266914175,0.2507342042423453
978.201796875,0.24217015078159626,0.24604328917413923,0.2504621996271119,0.2518055654029404
950.75328125,0.23981510621884966,0.24451834707996847,0.24794376292072098,0.25122837169865714
937.02984375,0.2358560966083427,0.24173085570030547,0.24434914216919276,0.24921908718867772
909.586484375,0.20033065026445435,0.2145758025561206,0.212609011302626,0.22529354014651537
882.168671875,-0.055398466705005166,-0.009337577357112227,-0.015839753911703412,0.006070398175737768
854.86703125,-0.526527401567242,-0.5490653395987399,-0.5217511145062365,-0.523598021198927
800.4196875,0.04083785493257777,0.011497168173470051,0.03180249412941887,-0.004503198806386146
732.3853125,0.00614970668358586,-0.016827107980705434,-0.003165239018452801,-0.03192901701922614
650.7878515625,0.014380906070519436,-0.004459196753475773,0.005650991624270582,-0.01446194109824183
569.24015625,0.019648158338735976,0.009380296750567943,0.014924152412141655,0.004229761651911561
487.740625,0.02113925963153216,0.02521915956574253,0.01944826213695272,0.016637991741346402
406.278359375,0.01765512843238936,0.03138337775664934,0.016941159250354932,0.015516086947916905
351.998046875,0.009580664663285679,0.017002443817408463,0.009196583022743239,0.008786918401474622
297.731484375,0.004328489153517284,0.008314631049190913,0.004830422262186958,0.004334293345676003
243.4722265625,0.0014859846540665488,0.003483858306935246,0.0014574232488578662,0.0015065575091553
202.7797265625,0.0004470057284130387,0.001395153617096894,0.00041395089215669434,0.0004770476243036812
