pressures,ysu,mynn2,acm2,gbm
1005.651796875,0.1749248240233255,0.22097918290234592,0.16820075293165848,0.1918290100957397
991.92640625,0.17118294996115907,0.21621240678447798,0.16447552445246275,0.1918679191532126
978.201796875,0.16935340083802405,0.2179634634825544,0.16178068305303592,0.19061313245636746
950.75328125,0.16072440336968696,0.20988772036057116,0.15714444170037914,0.18062319719103648
937.02984375,0.15106504568980345,0.1998122775283105,0.15392077437718352,0.16712109710728731
909.586484375,0.08557734927010105,0.11822156679854788,0.13333938522951239,0.0753352161623502
882.168671875,-0.24376968506987062,-0.2745955735365717,0.001538649963604195,-0.2858089268842934
854.86703125,-1.0158199187456656,-1.2625760558940107,-0.4294654978374041,-1.4032410837975509
800.4196875,-0.30285313254685325,-0.27020180658314785,-0.2961668773375965,-0.3027180505150561
732.3853125,-0.2479426173719927,-0.19844828583578616,-0.24647909222401432,-0.2438418427890583
650.7878515625,-0.1732171905052656,-0.1359586998395296,-0.16221439746858762,-0.1718667595751662
569.24015625,-0.10023000781475111,-0.06707433380246805,-0.09086471471960848,-0.09847564633826847
487.740625,-0.04448603466533581,-0.009902026406785407,-0.03658045860398736,-0.044776511121599735
406.278359375,-0.007037970297093263,0.008885335488656772,-0.01087357436345137,-0.004120442266800331
351.998046875,-0.001607643190387441,0.006649146356902007,-0.0037851434749474654,0.0007918294520876188
297.731484375,0.0010757268441543622,0.003772586640013926,-0.00043098535690705805,0.0024255226518729504
243.4722265625,0.0008862675806546164,0.0013393880848614856,0.00034593980474020077,0.001268558643633582
202.7797265625,0.0003986766222022052,0.0003185065049918836,0.00021922177033156023,0.00044320387342149727
