pressures,ysu,mynn2,acm2,gbm
1005.86375,0.09274438694146057,0.08329684162416628,0.08621766852007741,0.10040148443614899
992.107890625,0.09404882996181387,0.08495817681728475,0.08657213381299757,0.10129185786281247
978.3540625,0.09462226466728782,0.08617646068934916,0.0868820277047932,0.10166074360390964
950.85578125,0.10641565303308775,0.09470348162700319,0.11253641766151815,0.12051429234330088
937.1221875,0.10969064718406027,0.09920733508203558,0.14723042423225,0.1241599047852287
909.69703125,0.09459602750845782,0.11300982626944439,0.15955903622728013,0.1080908813766016
882.30921875,0.09664164488300409,0.10876868174217313,0.13356476845804663,0.10994247936677022
854.965,0.0976470216294489,0.10430750993155856,0.1210598850706018,0.11253388270195923
800.3565625,0.1138189565352852,0.11788859500109475,0.12661175761486515,0.12702435994508368
732.2065625,0.13008618495915888,0.13537155268661424,0.13759516090287965,0.14185185252705332
650.573203125,0.1383712089641152,0.14729886158971245,0.1450465827844952,0.1537439831349441
569.0444140625,0.14726616257665243,0.15627138365429294,0.1567880601569978,0.1654331663226042
487.5952734375,0.1627155783344618,0.1593426083245328,0.1761646555494046,0.17993221624869832
406.1987890625,0.18745503130297217,0.187462000804168,0.20269981130513445,0.21109454108844453
351.94390625,0.19970113593252395,0.20546174634720074,0.21357013869418065,0.22819675047026147
297.69046875,0.2105310104109626,0.20924655394181235,0.21008144810851456,0.24067337266142164
243.4398046875,0.21627787996934103,0.2125272861407384,0.19507154815650865,0.23963157634111182
202.75298828125,0.22322904527027215,0.2175977472687307,0.17405538088645703,0.2376476871965992
