pressures,wsm6,kessler,thompson,morrison
1005.86375,0.09274438694146057,0.04415179653074943,0.09483742181510266,0.10025726685391287
992.107890625,0.09404882996181387,0.04586782003717134,0.09612169978903393,0.1018830962376609
978.3540625,0.09462226466728782,0.05632027048054032,0.09652045809602101,0.10260982394256957
950.85578125,0.10641565303308775,0.055452574133830354,0.10751233090004281,0.1201553761330664
937.1221875,0.10969064718406027,0.06509964107327074,0.11267140589493332,0.1270780951922024
909.69703125,0.09459602750845782,0.07155934682371702,0.09398423107022691,0.07859363357919308
882.30921875,0.09664164488300409,0.04957076383161686,0.09755490827385191,0.08401981274171824
854.965,0.0976470216294489,0.04337306612860943,0.1018655316536538,0.0911455512741885
800.3565625,0.1138189565352852,0.10001414327251903,0.11643691471805197,0.1072439297763391
732.2065625,0.13008618495915888,0.12180343390239597,0.13191469975177209,0.12369278444902114
650.573203125,0.1383712089641152,0.12170942423987399,0.14704087869121413,0.1386040191247913
569.0444140625,0.14726616257665243,0.12373080884219985,0.16530290739356093,0.16097040934350632
487.5952734375,0.1627155783344618,0.13960374625212213,0.19267449008224713,0.18907403529179004
406.1987890625,0.18745503130297217,0.1271335810024844,0.23448220231547096,0.21859581062413927
351.94390625,0.19970113593252395,-0.007015181217339563,0.24803283839420096,0.24630762320304977
297.69046875,0.2105310104109626,-0.1160246906666418,0.25208374305046405,0.24681274828159097
243.4398046875,0.21627787996934103,-0.06169980835251928,0.2366471969613017,0.2455841706396978
202.75298828125,0.22322904527027215,-0.016119381984810565,0.224816830610011,0.214556097126522
