pressures,ysu,mynn2,acm2,gbm
1006.78703125,0.22245231359567166,0.2618638973144468,0.23735836630512994,0.21017720956147598
993.05859375,0.22346443857780854,0.2629924282130857,0.23676912884641296,0.21138166577487585
979.3303125,0.2236456521155144,0.26550470853485214,0.23616259164526104,0.21196523159978012
951.87359375,0.22481886407099305,0.27175543927003143,0.23489673810686185,0.2102530258371083
938.14515625,0.22547151353001937,0.27731439788637596,0.2338320508675576,0.2082240129317415
910.6890625,0.22130548970907635,0.27910510162762003,0.22689681485683244,0.19238888727642048
883.2465625,0.12356906438075982,0.13311679137074087,0.16711014890941672,0.11066522903525515
855.8465625,0.14802751497267755,0.15924052691882745,0.16915917144442616,0.12355882199856075
801.125234375,0.1480322715173408,0.17926869246339455,0.15961115101825576,0.12818655716955715
732.83,0.11974450203925299,0.15109867445065678,0.13975779063886135,0.11305031566278717
651.02453125,0.08224602892819835,0.0883180215437724,0.10931183766477286,0.08167466639082192
569.3305859375,0.0906689104371583,0.09822679178168399,0.08802941625741435,0.0846721293098386
487.73453125,0.06328331136075388,0.08430464024777723,0.09289137964571816,0.07535991517002066
406.227890625,0.041605666099257047,0.05104820807117953,0.05737289520776429,0.036022981827739047
351.9395703125,0.020724700185979498,0.02894210800044537,0.024878174187847327,0.018998617064082506
297.676953125,0.005415798460372244,0.008513780107867902,0.009524414733714216,0.0061036712325773035
243.42537109375,0.002106646170182641,0.00226529162173613,0.0020061153839819,0.002292730228377364
202.74,0.0006405088179727816,0.0008197581111025541,0.0005897164784147962,0.0006635493193054737
