pressures,ysu,mynn2,acm2,gbm
1005.2896875,0.20045540487084793,0.20677059197356162,0.22624456223386552,0.20538874922333403
991.541796875,0.20042350865038133,0.2062736499655546,0.22588621325061237,0.20603584874135797
977.796015625,0.19631554887937241,0.19969941967454,0.22388402232946,0.2009211473971129
950.317734375,0.16187911342878009,0.1873310779310927,0.17894675757809214,0.18132618375556292
936.59046875,0.2098335536912941,0.22347367899608084,0.17224446114421027,0.22247776617230086
909.17453125,0.19526780732312682,0.1863350953374902,0.1699647728137221,0.1857911084560962
881.8240625,0.021341811659467677,0.031216518274140268,0.019240628136534415,0.029114811871616315
854.517265625,-0.06569656092653126,-0.046850844518869415,-0.03173040273229875,-0.04405847065061504
799.98078125,-0.10145453978663571,-0.0858762872335305,-0.06756811982190623,-0.08381506941423326
731.90890625,-0.10975241428353884,-0.09906940983188314,-0.09246522341665976,-0.09890021312746718
650.353828125,-0.06909718432237075,-0.06309645616517898,-0.0660338842715418,-0.06112919708147736
568.9065234375,-0.025117168519672193,-0.02352490396318242,-0.02035101305518032,-0.021315944312261373
487.51875,-0.003888940987976577,-0.005851296123571423,-0.0012917133131512758,-0.0031499589008847947
406.1484375,-6.95687875801776e-05,-0.0024034476092497357,0.0002979493173611787,-0.00013444515769085545
351.9044140625,-0.000225418461680164,-0.0011436389193906662,4.8734833481779035e-05,-0.0001938303843947213
297.66056640625,-0.00014366929652308318,-0.0006314727428132236,0.00012860033634638492,-0.00034164489852829105
243.41666015625,-3.2882403292111215e-05,-0.00011933142671152155,0.00025407884020731266,-0.0001470080168368671
202.7338671875,0.00015958608426153042,0.00017973210920983507,0.000197530237920942,0.00014952602767560237
