pressures,850 hPa,650 hPa
1005.4022,0.004400343083742386,4.669394286355865e-11
991.6928999999999,0.00887341135544366,2.548032431380264e-10
977.9176600000001,0.01678527307493511,1.3105771058143025e-09
964.1492999999999,0.029672105936939412,6.296299772861185e-09
950.4555,0.04890953856423168,2.8053180542114322e-08
936.75484,0.07543443639594465,1.1701082598041556e-07
922.99445,0.10899114009161016,4.591970682436124e-07
909.3064999999999,0.1470156199248965,1.673548945592623e-06
895.6487,0.18544437025493032,5.691212496165752e-06
881.9558000000001,0.21898171054551302,1.816444463742497e-05
854.6582000000001,0.5,0.00015052861089703235
813.7409,0.18564213958633638,0.002181398710086133
772.8734,0.07612290328269243,0.017393331142028536
732.0491999999999,0.01726935377201618,0.07648687578539357
691.2208599999999,0.0021656116838905002,0.18597963692312297
650.4286,0.00015052861089703235,0.5
609.7388,5.842303104930261e-06,0.18625587373385638
568.98465,1.2504050899796832e-07,0.07687956599003036
541.8728500000001,6.987622248710851e-09,0.03076769296507002
501.14480000000003,5.612219576210842e-11,0.00475676141378821
474.03610000000003,1.6314908357743437e-12,0.0009900768702627977
446.8832,3.6288940803470626e-14,0.00015818308221868466
419.7874,6.265429193448967e-16,1.9536074878115665e-05
392.6445,8.267951915543152e-18,1.850420918620412e-06
365.50176,8.396403392399919e-20,1.348798080260289e-07
338.38644999999997,6.594971663777542e-22,7.588965770353655e-09
311.28156,3.996448222381265e-24,3.291783462592861e-10
297.68742,2.7975440095755686e-25,6.183617322763545e-11
270.5806,1.1447784130046545e-27,1.8114876707114808e-12
257.0016,6.603649152851712e-29,2.801103090312704e-13
229.8845,1.821533742457971e-31,5.535473654505266e-15
216.32455000000002,8.6705262814122e-33,7.053317121595746e-16
202.75842,3.8604578627527066e-34,8.41031081521088e-17
189.19835999999998,1.6122680444655146e-35,9.402521362465571e-18
