pressures,850 hPa,650 hPa
1005.4022,0.0017601372334969544,1.867757714542346e-11
991.6928999999999,0.0035493645421774637,1.0192129725521055e-10
977.9176600000001,0.0067141092299740435,5.242308423257209e-10
964.1492999999999,0.011868842374775767,2.5185199091444743e-09
950.4555,0.01956381542569267,1.1221272216845729e-08
936.75484,0.03017377455837786,4.680433039216623e-08
922.99445,0.04359645603664407,1.8367882729744496e-07
909.3064999999999,0.058806247969958605,6.694195782370492e-07
895.6487,0.07417774810197213,2.2764849984663007e-06
881.9558000000001,0.0875926842182052,7.265777854969988e-06
854.6582000000001,0.2,6.021144435881294e-05
813.7409,0.07425685583453455,0.0008725594840344531
772.8734,0.030449161313076973,0.006957332456811414
732.0491999999999,0.006907741508806473,0.030594750314157426
691.2208599999999,0.0008662446735562002,0.07439185476924919
650.4286,6.021144435881294e-05,0.2
609.7388,2.336921241972105e-06,0.07450234949354255
568.98465,5.0016203599187326e-08,0.030751826396012143
541.8728500000001,2.7950488994843404e-09,0.01230707718602801
501.14480000000003,2.2448878304843365e-11,0.0019027045655152846
474.03610000000003,6.525963343097374e-13,0.00039603074810511905
446.8832,1.451557632138825e-14,6.327323288747386e-05
419.7874,2.506171677379587e-16,7.814429951246266e-06
392.6445,3.3071807662172605e-18,7.401683674481649e-07
365.50176,3.3585613569599673e-20,5.395192321041156e-08
338.38644999999997,2.6379886655110173e-22,3.035586308141462e-09
311.28156,1.5985792889525062e-24,1.3167133850371443e-10
297.68742,1.1190176038302274e-25,2.4734469291054177e-11
270.5806,4.579113652018618e-28,7.245950682845922e-13
257.0016,2.641459661140685e-29,1.1204412361250815e-13
229.8845,7.286134969831886e-32,2.2141894618021065e-15
216.32455000000002,3.4682105125648806e-33,2.821326848638299e-16
202.75842,1.5441831451010825e-34,3.364124326084351e-17
189.19835999999998,6.449072177862058e-36,3.761008544986228e-18
