pressures(hPa),850 hPa,650 hPa
1005.4022,0.19130340955215216,0.3903484477591336
991.6928999999999,0.19131913010516,0.39021970486739244
977.9176600000001,0.19226236328562915,0.3924083340269918
950.4555,0.24546071466408942,0.45875383757092547
936.75484,0.24747294544909026,0.4456864340591999
909.3064999999999,0.24596377236033962,0.40751416665795215
881.9558000000001,0.2811149288858234,0.4754045849027795
854.6582000000001,0.24843189918256725,0.5076332221353113
800.0897,0.06709532023737245,0.5765106692168207
732.0491999999999,0.014667275956295339,0.6549580045844214
650.4286,0.07256607268409355,0.5179326534746024
568.98465,0.1484020203938135,0.1315537782108206
487.61145,0.21564668588476024,0.14111293792260016
406.2038,0.2665341159710711,0.25112373891540346
351.96727,0.28971407138110056,0.3107960692374214
297.68742,0.2964896297274706,0.34134032030300665
243.4615,0.2930468286187582,0.3325858036646092
202.75842,0.2943201934123916,0.32011920031434227
