pressures(hPa),850 hPa,650 hPa
1006.3566000000001,0.22705962169602872,0.2489878673937617
992.6351,0.22624263440512135,0.24976045515674872
978.9141000000001,0.22514284382120756,0.2515202383946636
951.3780499999999,0.23915731811908036,0.27641473297980096
937.7006,0.2421424639897035,0.28830400022132346
910.242,0.24808133314283792,0.30967892833063104
882.86875,0.2432736771617291,0.3432435744781783
855.4386999999999,0.25543421876100436,0.35732184038149734
800.8200999999999,0.1775376228317966,0.4102870236884965
732.5822000000001,0.09844696855433961,0.5953647144662763
650.8291399999999,0.15519616268429087,0.4984907932961814
569.13562,0.16440298100105485,0.4933402082096013
487.6746,0.17053038568286022,0.5889694046504392
406.25855,0.1730599040258619,0.721339441375549
351.98242,0.20817464624082346,0.6849848949727707
297.70072,0.24317940939739363,0.6804995937932072
243.46616999999998,0.27574892197529755,0.6727093338497547
202.76707,0.296550675305324,0.646698879162525
