pressures,wsm6,kessler,thompson,morrison
1005.5,0.12962350099246686,0.1421462180333013,0.12638496782236888,0.12101534479452711
991.733984375,0.12980936267574306,0.14238489737075027,0.12705216266793978,0.12068078470921546
977.9721875,0.12427200678454388,0.13250896105188667,0.119306178083146,0.11173496769611316
950.47140625,0.12148516188833204,0.09140572192885417,0.11310747448549975,0.0833408971984781
936.73265625,0.1502304181523596,0.13374118797625403,0.14536346558202026,0.13079460856647956
909.26578125,0.13629461487077937,0.16752199583536817,0.13588263818772026,0.16169739719828197
881.860234375,0.14358079654078265,0.17267076709822785,0.13529304224758107,0.15282569555460473
854.54265625,0.14676537393303105,0.19356759280409994,0.14390672844523647,0.15125639466790375
799.99140625,0.06405076019684823,0.10225789475063253,0.06514552752806775,0.06578257638897476
731.90328125,0.01737374789861764,0.04019406403652676,0.020134347884737905,0.02228291446761215
650.335625,0.014379832796212319,0.03364365412358536,0.013554693055850258,0.014342252676050486
568.882578125,0.026429595594332483,0.02844242796036127,0.017345419837144348,0.00957232198822717
487.4937109375,0.018385987209476373,0.014581869107722727,0.015473360988501422,0.009989007930359813
406.128125,0.004924045876591423,0.005570360979825076,0.006659439197369464,0.0031018069221980483
351.8867578125,0.001436475497468579,0.003320709599355897,0.003217866128451458,0.001394305145363046
297.64552734375,0.00013430282829366623,0.0021104196453432247,0.0017158504322468794,0.0006096615056959617
243.404375,-0.0001121904520336842,0.0013084200909541826,0.001013276595461373,0.00027419835936640574
202.72375,0.0001825434365450054,0.0009024913895045565,0.0003730400044467202,0.0003022403196708388
