pressures,ysu,mynn2,acm2,gbm
1005.1884375,0.21509386188382792,0.2221225561530257,0.21855927716786322,0.2184337288573594
991.4259375,0.21421369196645607,0.22019535785429306,0.21743116884272715,0.21872193588638128
977.66734375,0.20921471056108834,0.1941086659081117,0.21535947008191933,0.1972885270942689
950.171875,0.1924272081425061,0.18757316284484668,0.18089974696650754,0.1885759464605375
936.43796875,0.22348929189132657,0.21475552434252404,0.2177868271100467,0.21697345792144979
908.982734375,0.19895821282639467,0.21359788035652708,0.20422970121363931,0.20752587956762722
881.590625,0.18120420229691087,0.1999627719203832,0.18050199318696228,0.20214028840002432
854.294375,0.18092240402636264,0.20218275990471252,0.17764562507594872,0.20218257079475993
799.784140625,0.0965632737550482,0.11357598101152278,0.0935651046425078,0.11435702444353651
731.74984375,0.043488188338420074,0.05487008705458529,0.04197963231464818,0.06091056013707164
650.238984375,0.025400816450585624,0.037161226863854355,0.025375483703849327,0.042068821748005185
568.8234375,0.02496873576192483,0.031133893989923205,0.025152972003354354,0.03215667154321656
487.451953125,0.01724172225860473,0.017498593754830337,0.014299786529987767,0.017145409200853664
406.0940625,0.00649312867299008,0.006032599905492363,0.0029270101746326823,0.0061393660570480705
351.857265625,0.0016397286760221517,0.002206153359120856,0.0008275470141558343,0.002497483885504828
297.620546875,0.00019374005831932718,0.0012681185815880366,0.00020968162732083772,0.0016840026490042678
243.38390625,0.0003524080360052979,0.0008513169896197761,0.0003903615499689153,0.0007437366703371115
202.7066796875,0.0004238014592194046,0.000408289026633055,0.0004340039478032311,0.0003949996552042102
