pressures,ysu,mynn2,acm2,gbm
1006.82375,0.1579046475771778,0.09007822262324697,0.2257089305182622,0.18138971127017506
993.095,0.15903612992446647,0.09011850837451749,0.2259176657953124,0.1814833762150207
979.3665625,0.1586118240442332,0.08992911523607655,0.22535197537849247,0.18104253854962596
951.909296875,0.15704032078411004,0.08930223475529352,0.22406166543846368,0.18021441926234377
938.180703125,0.15606598876283365,0.08917435263058417,0.2236242173960902,0.18027905789926654
910.72421875,0.1558931234042201,0.09194692997267429,0.22454526475362271,0.1840941097024072
883.282734375,0.20295964604490954,0.19918760313806452,0.25791262190183323,0.2192436291010093
855.88421875,0.2360240746379014,0.23266438779685525,0.28139353932271965,0.25451163465488463
801.162109375,0.2705971463606115,0.24347858207780695,0.2971265645567075,0.26675709806787506
732.864765625,0.3055788089309536,0.24679082997702578,0.30799590325523873,0.28373931236614813
651.0553125,0.31786796442511694,0.2866212877438346,0.35226444518318883,0.30232303674623284
569.3551953125,0.31299630431873504,0.33304695627632314,0.3933228012517765,0.3279581791233522
487.75109375,0.3390046832737738,0.3741468917204448,0.4240753868399939,0.35511582552882054
406.2456640625,0.3813252660688912,0.4198682408052635,0.4554697214002006,0.3985421034528247
351.955390625,0.41283390643436113,0.45718646720162265,0.491753425030841,0.4325352783449768
297.6884765625,0.4428653337353152,0.4921016850507376,0.5210847826311049,0.45742968493337616
243.43421875,0.4653692604202792,0.5021611625761847,0.5262491794895121,0.47088944558121393
202.7473046875,0.4490256265149981,0.4835558887088025,0.5104867021978483,0.4583626188964184
